design,rank,sample,mean_overlap,valid_tokens,truncated,text
drum3,2,90,0.9244520737966424,89,False,"A security team reviewed alerts from a business network after deploying a new detection rule before sunrise. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
drum3,3,94,0.924638888888889,100,False,"A security team reviewed alerts from a business network after deploying a new detection rule near the end of a month-long trial. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
drum3,4,93,0.9247474747474738,105,False,"A security team reviewed alerts from a business network after deploying a new detection rule on a clear weekend morning. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
drum3,5,2,0.924926346801346,88,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue after two days of heavy rain. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, nearby activity produced a second change in the measurements. the investigators added a control location before interpreting the trend. the result was reported only when the control supported the same direction."
drum4,1,29,0.9586226851851853,96,False,"A software team reviewed a staged deployment of a service used by several internal groups near the end of a month-long trial. The review focused on service requests: latency, error rate, and release stage. They compared application logs with the deployment timeline and rollback notes. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
drum4,2,93,0.958802308802308,105,False,"A security team reviewed alerts from a business network after deploying a new detection rule on a clear weekend morning. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
drum4,3,90,0.9589922319323063,89,False,"A security team reviewed alerts from a business network after deploying a new detection rule before sunrise. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
drum4,4,94,0.9590138888888892,100,False,"A security team reviewed alerts from a business network after deploying a new detection rule near the end of a month-long trial. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
drum4,5,2,0.9590172558922553,88,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue after two days of heavy rain. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, nearby activity produced a second change in the measurements. the investigators added a control location before interpreting the trend. the result was reported only when the control supported the same direction."
drum6,1,90,0.9883999167707032,89,False,"A security team reviewed alerts from a business network after deploying a new detection rule before sunrise. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
drum6,2,42,0.9885271990740743,96,False,"At a municipal water plant, operators checked the stages used to treat incoming river water after two days of heavy rain. The review focused on treatment batches: turbidity, chemical dose, and settling time. They compared laboratory samples with process logs and reviewed the valve settings. In that period, nearby activity produced a second change in the measurements. the investigators added a control location before interpreting the trend. the result was reported only when the control supported the same direction."
drum6,3,75,0.9885335917312658,86,False,"A public health group reviewed responses from households invited to a local wellness survey before sunrise. The review focused on survey responses: response rate, age band, and collection method. They compared online and paper forms and documented every change to the questionnaire. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
drum6,4,70,0.9885467797114382,83,False,"At an archaeology site, researchers catalogued finds from adjacent layers of a test trench before sunrise. The review focused on recorded artefacts: depth, material, and grid position. They compared field sketches with the database and retained uncertain classifications. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
drum6,5,92,0.988570601851852,96,False,"A security team reviewed alerts from a business network after deploying a new detection rule after two days of heavy rain. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, nearby activity produced a second change in the measurements. the investigators added a control location before interpreting the trend. the result was reported only when the control supported the same direction."
exact_int16,1,0,1.0,81,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue before sunrise. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
exact_int16,2,1,1.0,85,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue during a busy afternoon. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, several observations arrived later than expected. the analysts kept the timestamps and compared late and early records separately. the report treated timing as a possible source of variation."
exact_int16,3,2,1.0,88,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue after two days of heavy rain. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, nearby activity produced a second change in the measurements. the investigators added a control location before interpreting the trend. the result was reported only when the control supported the same direction."
exact_int16,4,3,1.0,97,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue on a clear weekend morning. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
exact_int16,5,4,1.0,92,False,"At a regional railway station, dispatchers reviewed the departure board and platform queue near the end of a month-long trial. The review focused on train movements: departure times and passenger counts. They compared the records with the timetable and marked every platform change. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
mitchell,1,29,0.9809606481481483,96,False,"A software team reviewed a staged deployment of a service used by several internal groups near the end of a month-long trial. The review focused on service requests: latency, error rate, and release stage. They compared application logs with the deployment timeline and rollback notes. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
mitchell,2,79,0.9812857961053838,97,False,"A public health group reviewed responses from households invited to a local wellness survey near the end of a month-long trial. The review focused on survey responses: response rate, age band, and collection method. They compared online and paper forms and documented every change to the questionnaire. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
mitchell,3,94,0.9813055555555557,100,False,"A security team reviewed alerts from a business network after deploying a new detection rule near the end of a month-long trial. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
mitchell,4,90,0.9813080871133302,89,False,"A security team reviewed alerts from a business network after deploying a new detection rule before sunrise. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
mitchell,5,98,0.981314432989691,97,False,"Materials researchers tested small battery cells made with several electrode formulations on a clear weekend morning. The review focused on cell cycles: capacity, temperature, and cycle count. They compared each cell with a control formulation and recorded the charging profile. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
